year,sample,island,pool,pool_suitable
1982,2,G,111A,n
1983,1,G,111A,n
1983,2,G,111A,n
1984,1,G,111A,n
1984,2,G,111A,n
1985,1,G,111A,n
1985,2,G,111A,n
1986,1,G,111A,n
1986,2,G,111A,n
1987,1,G,111A,n
1987,2,G,111A,n
1988,1,G,111A,n
1988,2,G,111A,n
1989,1,G,111A,n
1989,2,G,111A,n
1990,1,G,111A,n
1990,2,G,111A,n
1991,1,G,111A,n
1991,2,G,111A,n
1992,1,G,111A,n
1992,2,G,111A,n
1993,1,G,111A,n
1993,2,G,111A,n
1994,1,G,111A,n
1994,2,G,111A,n
1995,1,G,111A,n
1995,2,G,111A,n
1996,1,G,111A,n
1996,2,G,111A,n
1997,1,G,111A,n
1997,2,G,111A,n
1998,1,G,111A,n
1998,2,G,111A,n
1999,1,G,111A,n
1999,2,G,111A,n
2000,1,G,111A,n
2000,2,G,111A,n
2001,1,G,111A,n
2001,2,G,111A,n
2002,1,G,111A,n
2002,2,G,111A,n
2003,1,G,111A,n
2003,2,G,111A,n
2004,1,G,111A,n
2004,2,G,111A,n
2005,1,G,111A,n
2005,2,G,111A,n
2006,1,G,111A,n
2006,2,G,111A,n
2007,1,G,111A,n
2007,2,G,111A,n
2008,1,G,111A,n
2008,2,G,111A,n
2009,1,G,111A,n
2009,2,G,111A,n
1982,2,G,122A,n
1983,1,G,122A,n
1983,2,G,122A,n
1984,1,G,122A,n
1984,2,G,122A,n
1985,1,G,122A,n
1985,2,G,122A,n
1986,1,G,122A,n
1986,2,G,122A,n
1987,1,G,122A,n
1987,2,G,122A,n
1988,1,G,122A,n
1988,2,G,122A,n
1989,1,G,122A,n
1989,2,G,122A,n
1990,1,G,122A,n
1990,2,G,122A,n
1991,1,G,122A,n
1991,2,G,122A,n
1992,1,G,122A,n
1992,2,G,122A,n
1993,1,G,122A,n
1993,2,G,122A,n
1994,1,G,122A,n
1994,2,G,122A,n
1995,1,G,122A,n
1995,2,G,122A,n
1996,1,G,122A,n
1996,2,G,122A,n
1997,1,G,122A,n
1997,2,G,122A,n
1998,1,G,122A,n
1998,2,G,122A,n
1999,1,G,122A,n
1999,2,G,122A,n
2000,1,G,122A,n
2000,2,G,122A,n
2001,1,G,122A,n
2001,2,G,122A,n
2002,1,G,122A,n
2002,2,G,122A,n
2003,1,G,122A,n
2003,2,G,122A,n
2004,1,G,122A,n
2004,2,G,122A,n
2005,1,G,122A,n
2005,2,G,122A,n
2006,1,G,122A,n
2006,2,G,122A,n
2007,1,G,122A,n
2007,2,G,122A,n
2008,1,G,122A,n
2008,2,G,122A,n
2009,1,G,122A,n
2009,2,G,122A,n
2010,1,G,122A,n
2010,2,G,122A,n
1982,2,G,12A,n
1983,1,G,12A,n
1983,2,G,12A,n
1984,1,G,12A,n
1984,2,G,12A,n
1985,1,G,12A,n
1985,2,G,12A,n
1986,1,G,12A,n
1986,2,G,12A,n
1987,1,G,12A,n
1987,2,G,12A,n
1988,1,G,12A,n
1988,2,G,12A,n
1989,1,G,12A,n
1989,2,G,12A,n
1990,1,G,12A,n
1990,2,G,12A,n
1991,1,G,12A,n
1991,2,G,12A,n
1992,1,G,12A,n
1992,2,G,12A,n
1993,1,G,12A,n
1993,2,G,12A,n
1994,1,G,12A,n
1994,2,G,12A,n
1995,1,G,12A,n
1995,2,G,12A,n
1996,1,G,12A,n
1996,2,G,12A,n
1997,1,G,12A,n
1997,2,G,12A,n
1998,1,G,12A,n
1998,2,G,12A,n
1999,1,G,12A,n
1999,2,G,12A,n
2000,1,G,12A,n
2000,2,G,12A,n
2001,1,G,12A,n
2001,2,G,12A,n
2002,1,G,12A,n
2002,2,G,12A,n
2003,1,G,12A,n
2003,2,G,12A,n
2004,1,G,12A,n
2004,2,G,12A,n
2005,1,G,12A,n
2005,2,G,12A,n
2006,1,G,12A,n
2006,2,G,12A,n
2007,1,G,12A,n
2007,2,G,12A,n
2008,1,G,12A,n
2008,2,G,12A,n
2009,1,G,12A,n
2009,2,G,12A,n
2010,1,G,12A,n
2010,2,G,12A,n
1982,2,N,15A,n
1983,1,N,15A,n
1983,2,N,15A,n
1984,1,N,15A,n
1984,2,N,15A,n
1985,1,N,15A,n
1985,2,N,15A,n
1986,1,N,15A,n
1986,2,N,15A,n
1987,1,N,15A,n
1987,2,N,15A,n
1988,1,N,15A,n
1988,2,N,15A,n
1989,1,N,15A,n
1989,2,N,15A,n
1990,1,N,15A,n
1990,2,N,15A,n
1991,1,N,15A,n
1991,2,N,15A,n
1992,1,N,15A,n
1992,2,N,15A,n
1993,1,N,15A,n
1993,2,N,15A,n
1994,1,N,15A,n
1994,2,N,15A,n
1995,1,N,15A,n
1995,2,N,15A,n
1996,1,N,15A,n
1996,2,N,15A,n
1997,1,N,15A,n
1997,2,N,15A,n
1998,1,N,15A,n
1998,2,N,15A,n
1999,1,N,15A,n
1999,2,N,15A,n
2000,1,N,15A,n
2000,2,N,15A,n
2001,1,N,15A,n
2001,2,N,15A,n
