day,month,year,sample,name,island,poolname,remark,fish
2,8,2009,2,FSS-1,FSS,1,fish,1
30,7,2009,2,LA-12,LA,12,fish,1
24,7,2009,2,N-9,N,9,fish,1
24,7,2009,2,N-10,N,10,fish,1
24,7,2009,2,N-12,N,12,fish,1
24,7,2009,2,N-14,N,14,fish,1
24,7,2009,2,N-28,N,28,fish,1
10,6,2011,1,LA-12,LA,12,fish,1
9,6,2011,1,N-11,N,11,fish,1
16,7,2011,2,FS-24,FS,24,fish,1
17,7,2011,2,G-9,G,9,fish,1
1,6,2012,1,N-14,N,14,fish,1
28,7,2012,2,FSS-1,FSS,1,fish,1
27,7,2012,2,LA-12,LA,12,fish,1
29,7,2012,2,N-10,N,10,fish,1
29,7,2012,2,N-11,N,11,fish,1
29,7,2012,2,N-12,N,12,fish,1
29,7,2012,2,N-14,N,14,fish,1
29,7,2012,2,N-37,N,37,fish,1
6,6,2013,1,FS-15,FS,15,fish,1
4,6,2013,1,N-29,N,29,fish,1
4,6,2013,1,N-37,N,37,fish,1
6,8,2013,2,N-14,N,14,fish,1
6,8,2013,2,N-29,N,29,fish,1
6,8,2013,2,N-37,N,37,fish,1
16,6,2014,1,FS-15,FS,15,fish,1
15,6,2014,1,N-14,N,14,fish,1
15,8,2014,2,N-11,N,11,fish,1
15,8,2014,2,N-12,N,12,fish,1
15,8,2014,2,N-14,N,14,fish,1
15,8,2014,2,N-37,N,37,fish,1
18,8,2015,2,FSS-1,FSS,1,fish,1
18,8,2015,2,FSS-5,FSS,5,fish,1
18,8,2015,2,FSS-7,FSS,7,fish,1
18,8,2015,2,FSS-9,FSS,9,fish,1
20,8,2015,2,G-36,G,36,fish,1
20,8,2015,2,G-38,G,38,fish,1
20,8,2015,2,G-88,G,88,fish,1
22,8,2015,2,N-13,N,13,fish,1
22,8,2015,2,N-14,N,14,fish,1
22,8,2015,2,N-19,N,19,fish,1
22,8,2015,2,N-37,N,37,fish,1
8,6,2016,1,FS-15,FS,15,fish,1
8,6,2016,1,FS-24,FS,24,fish,1
8,6,2016,1,FSS-1,FSS,1,fish,1
7,6,2016,1,N-37,N,37,fish,1
29,7,2016,2,FS-15,FS,15,fish,1
29,7,2016,2,FS-24,FS,24,fish,1
5,8,2016,2,FSS-1,FSS,1,fish,1
27,7,2016,2,N-9,N,9,fish,1
27,7,2016,2,N-12,N,12,fish,1
27,7,2016,2,N-14,N,14,fish,1
27,7,2016,2,N-37,N,37,fish,1
4,6,2017,1,FSS-1,FSS,1,fish,1
3,6,2017,1,G-38,G,38,fish,1
31,5,2017,1,N-37,N,37,fish,1
2,8,2017,2,FS-24,FS,24,fish,1
30,7,2017,2,G-1,G,1,fish,1
30,7,2017,2,G-18,G,18,fish,1
30,7,2017,2,G-40,G,40,fish,1
30,7,2017,2,G-88,G,88,fish,1
2,8,2017,2,LA-1,LA,1,fish,1
2,8,2017,2,LA-12,LA,12,fish,1
28,7,2017,2,N-14,N,14,fish,1
