day,month,year,sample,poolname,island,pool,author,remark,holds_no_water
29,7,2016,2,FS-29,FS,29,DE,hnw,1
2,8,2017,2,FS-29,FS,29,DE,hnw,1
20,5,2010,1,FSS-17,FSS,17,JL,hnw,1
27,5,2012,1,FSS-17,FSS,17,DE,hnw,1
28,7,2012,2,FSS-17,FSS,17,DE,hnw,1
28,5,2013,1,FSS-17,FSS,17,DE,hnw,1
5,8,2013,2,FSS-17,FSS,17,DE,hnw,1
17,8,2014,2,FSS-17,FSS,17,FBA,has water,
21,5,2015,1,FSS-17,FSS,17,DE,hnw,1
18,8,2015,2,FSS-17,FSS,17,DE,hnw,1
5,8,2016,2,FSS-17,FSS,17,DE,has water,
4,6,2017,1,FSS-17,FSS,17,DE,hnw,1
1,8,2017,2,FSS-17,FSS,17,DE,has water,
23,5,2010,1,G-19,G,19,DE,hnw,1
17,7,2011,2,G-19,G,19,DE,hnw,1
4,8,2013,2,G-19,G,19,DE,hnw,1
23,8,2014,2,G-19,G,19,DE,hnw,1
28,5,2015,1,G-19,G,19,DE,hnw,1
20,8,2015,2,G-19,G,19,DE,hnw,1
11,8,2016,2,G-19,G,19,DE,has water,
3,6,2017,1,G-19,G,19,DE,has water,
4,8,2009,2,G-25,G,25,DE,hnw,1
17,7,2011,2,G-25,G,25,DE,hnw,1
25,5,2013,1,G-25,G,25,DE,hnw,1
4,8,2013,2,G-25,G,25,DE,hnw,1
23,8,2014,2,G-25,G,25,DE,has water,
28,5,2015,1,G-25,G,25,DE,has water,
20,8,2015,2,G-25,G,25,DE,has water,
11,8,2016,2,G-25,G,25,DE,has water,
3,6,2017,1,G-25,G,25,DE,hnw,1
30,7,2017,2,G-25,G,25,DE,hnw,1
4,8,2009,2,G-26,G,26,DE,hnw,1
17,7,2011,2,G-26,G,26,DE,hnw,1
25,5,2013,1,G-26,G,26,DE,hnw,1
4,8,2013,2,G-26,G,26,DE,hnw,1
23,8,2014,2,G-26,G,26,DE,has water,
28,5,2015,1,G-26,G,26,DE,has water,
8,8,2015,2,G-26,G,26,VIP,has water,
11,8,2016,2,G-26,G,26,DE,has water,
3,6,2017,1,G-26,G,26,DE,hnw,1
30,7,2017,2,G-26,G,26,DE,hnw,1
4,8,2009,2,G-29,G,29,DE,hnw,1
17,7,2011,2,G-29,G,29,DE,hnw,1
4,8,2012,2,G-29,G,29,DE,hnw,1
25,5,2013,1,G-29,G,29,DE,hnw,1
4,8,2013,2,G-29,G,29,DE,hnw,1
17,6,2014,1,G-29,G,29,CH,hnw,1
23,8,2014,2,G-29,G,29,DE,hnw,1
28,5,2015,1,G-29,G,29,DE,hnw,1
11,8,2016,2,G-29,G,29,DE,hnw,1
4,8,2009,2,G-32,G,32,DE,hnw,1
17,7,2011,2,G-32,G,32,DE,hnw,1
25,5,2013,1,G-32,G,32,DE,hnw,1
4,8,2013,2,G-32,G,32,DE,hnw,1
23,8,2014,2,G-32,G,32,DE,hnw,1
28,5,2015,1,G-32,G,32,DE,has water,
17,7,2011,2,G-37,G,37,DE,hnw,1
4,8,2013,2,G-37,G,37,DE,hnw,1
23,8,2014,2,G-37,G,37,DE,hnw,1
28,5,2015,1,G-37,G,37,DE,hnw,1
20,8,2015,2,G-37,G,37,DE,hnw,1
5,6,2016,1,G-37,G,37,CH,hnw,1
11,8,2016,2,G-37,G,37,DE,hnw,1
