poolname,meanhydro,meandesi,mediandesi,medianhydro
F-1,NA,NA,NA,NA
F-10,153,0,0,153
F-11,112.04,1,1,112
F-12,124.72,0.6,0,153
F-2,91.16,1.92,2,78
F-3,153,0,0,153
F-4,126.44,0.68,0,153
F-5,140.56,0.28,0,153
F-6,153,0,0,153
F-7,147.8,0.12,0,153
F-8,150.72,0.2,0,153
F-9,139.36,0.36,0,153
FO-1,128.64,0.48,0,153
FO-10,116.76,0.8,1,113
FO-11,127.08,0.64,0,153
FO-12,51.76,1.6,1,48
FO-13,153,0,0,153
FO-14,88.32,1.92,2,70
FO-15,66.84,1.64,1,60
FO-16,43.72,1.84,1,32
FO-17,126.32,0.64,0,153
FO-18,137.68,0.24,0,153
FO-19,44.76,2,1,33
FO-2,150.92,0.04,0,153
FO-20,71.16,2.2,2,68
FO-21,148.76,0.2,0,153
FO-21A,NA,NA,NA,NA
FO-22,117.32,0.72,1,113
FO-3,64.88,1.12,1,58
FO-4,146.2,0.32,0,153
FO-5,86.48,1.68,1,68
FO-6,146.72,0.36,0,153
FO-7,118.88,0.8,0,153
FO-8,119.52,0.64,0,153
FO-9,152.88,0.04,0,153
FS-1,124.16,0.76,0,153
FS-10,78.96,1.24,1,66
FS-11,92.48,1.44,1,73
FS-12,95.44,1.12,1,74
FS-13,118.36,0.72,1,146
FS-14,151.32,0.12,0,153
FS-15,153,0,0,153
FS-16,52.24,3,2,48
FS-17,128,0.6,0,153
FS-18,147.2,0.12,0,153
FS-19,74.4,2.2,2,68
FS-2,75.04,1.4,1,64
FS-20,143.88,0.2,0,153
FS-21,104.64,1.08,1,87
FS-22,143.72,0.2,0,153
FS-23,106.36,1.4,1,87
FS-24,153,0,0,153
FS-25,105.64,1,1,97
FS-26,138.16,0.4,0,153
FS-27,109.16,1.12,1,94
FS-28,77.4,1.52,1,65
FS-29,90,1.2,1,71
FS-3,111.64,0.88,1,98
FS-30,137.56,0.56,0,153
FS-31,150.96,0.12,0,153
FS-32,147.24,0.16,0,153
FS-33,123.6,0.72,0,153
FS-4,116.08,0.88,1,113
FS-5,96.72,1.4,1,76
FS-6,129.36,0.56,0,153
FS-7,41.72,2.2,2,29
FS-8,33.64,1.84,1,23
FS-9,48.44,1.44,1,44
FSS-1,153,0,0,153
FSS-10,74.8,1.76,1,67
FSS-11,74.96,2,2,68
FSS-12,142.16,0.28,0,153
FSS-13,82.68,1.64,1,67
FSS-14,99.04,1.84,1,76
FSS-15,112.12,0.92,1,107
FSS-16,136.16,0.4,0,153
FSS-17,140.96,0.48,0,153
FSS-18,91.04,1.48,1,72
FSS-2,130.28,0.8,0,153
FSS-3,83.6,1.6,1,68
FSS-4,61.16,1.4,1,53
FSS-5,NA,NA,NA,NA
