run;island_name;island;number_pools_approx;island_area_sq_meter;island_perimeter_meter;group_100;group_200
1;Fyrgrundet;F;12;9446.7;541.1;1;1
2;Fyrgrundet_East;FO;24;3224.0;350.1;1;1
3;Fyrgrundet_South;FS;33;2512.4;274.0;1;1
4;Fyrgrundet_Southsouth;FSS;18;1098.3;177.6;1;1
5;Fyrgrundet_West;FW;1;487.2;88.6;1;1
6;Granbusken;G;138;23192.8;780.3;2;2
7;K;K;18;945.3;127.0;3;3
8;Lasarettet;LA;32;5748.6;487.9;1;1
9;LG;LG;18;1614.7;173.9;4;3
10;LON;LON;10;550.8;95.7;5;3
11;LONA;LONA;2;260.5;65.2;5;3
12;Melanskar;M;79;88400.1;1913.9;4;3
13;Storgrundet;N;102;10818.3;664.1;6;4
14;Skallotholmen;SK;61;45891.0;1202.8;7;5
15;Skallotholmen_North;SKN;2;213.9;66.8;7;5
16;Skallotholmen_East;SKO;7;170.0;54.6;7;5
17;Skallotholmen_West;SKW;3;336.0;92.5;7;5
