name;island;pool;core;latitude_TZ;longitude_TZ;latitude_2012;longitude_2012;latitude_mean;latitude_correction;latitude_corr;longitude_mean;longotide_correction;longitude_corr
F-1;F;1;1;59,8295996;23,2459211;59,83;23,25;59,8295898;0,00000;59,8295898;23,2459356;0,00000;23,2459356
F-2;F;2;1;59,8296449;23,2457596;NA;NA;59,8296449;0,00000;59,8296449;23,2457596;0,00000;23,2457596
F-3;F;3;1;59,8296417;23,2453747;NA;NA;59,8296417;0,00000;59,8296417;23,2453747;0,00000;23,2453747
F-4;F;4;1;59,8295961;23,2454876;NA;NA;59,8295961;0,00000;59,8295961;23,2454876;0,00000;23,2454876
F-5;F;5;1;59,8296863;23,2455162;NA;NA;59,8296863;0,00000;59,8296863;23,2455162;0,00000;23,2455162
F-6;F;6;1;59,8297914;23,245404;NA;NA;59,8297914;0,00000;59,8297914;23,2454040;0,00000;23,2454040
F-7;F;7;1;59,829796;23,2452285;NA;NA;59,8297960;0,00000;59,8297960;23,2452285;0,00000;23,2452285
F-8;F;8;1;59,8300128;23,2465756;NA;NA;59,8300128;0,00000;59,8300128;23,2465756;0,00000;23,2465756
F-9;F;9;1;59,8299074;23,2465024;NA;NA;59,8299074;0,00000;59,8299074;23,2465024;0,00000;23,2465024
F-10;F;10;1;59,829517;23,2481044;NA;NA;59,8295170;0,00000;59,8295170;23,2481044;0,00000;23,2481044
F-11;F;11;1;59,8297096;23,247908;NA;NA;59,8297096;0,00000;59,8297096;23,2479080;0,00000;23,2479080
F-12;F;12;1;59,8297709;23,2472583;NA;NA;59,8297709;0,00000;59,8297709;23,2472583;0,00000;23,2472583
FO-1;FO;1;1;59,8294818;23,2498133;NA;NA;59,8294818;-0,00002;59,8294618;23,2498133;0,00000;23,2498133
FO-2;FO;2;1;59,8294842;23,2498738;NA;NA;59,8294842;-0,00002;59,8294642;23,2498738;0,00000;23,2498738
FO-3;FO;3;1;59,8294947;23,2498833;NA;NA;59,8294947;0,00000;59,8294947;23,2498833;0,00000;23,2498833
FO-4;FO;4;1;59,8293166;23,2502318;NA;NA;59,8293166;0,00000;59,8293166;23,2502318;0,00000;23,2502318
FO-5;FO;5;1;59,8293251;23,250291;NA;NA;59,8293251;0,00000;59,8293251;23,2502910;0,00000;23,2502910
FO-6;FO;6;1;59,8293527;23,2502669;NA;NA;59,8293527;0,00000;59,8293527;23,2502669;0,00000;23,2502669
FO-7;FO;7;1;59,8292782;23,2503224;NA;NA;59,8292782;0,00000;59,8292782;23,2503224;0,00000;23,2503224
FO-8;FO;8;1;59,8292603;23,2503837;NA;NA;59,8292603;0,00000;59,8292603;23,2503837;0,00000;23,2503837
FO-9;FO;9;1;59,829294;23,250503;NA;NA;59,8292940;0,00000;59,8292940;23,2505030;0,00000;23,2505030
FO-10;FO;10;1;59,8292011;23,2507105;NA;NA;59,8292011;0,00000;59,8292011;23,2507105;0,00000;23,2507105
FO-11;FO;11;1;59,829159;23,2507804;NA;NA;59,8291590;0,00000;59,8291590;23,2507804;0,00000;23,2507804
FO-12;FO;12;1;59,8291826;23,2508056;NA;NA;59,8291826;0,00000;59,8291826;23,2508056;0,00000;23,2508056
FO-13;FO;13;1;59,8291909;23,2509977;NA;NA;59,8291909;0,00000;59,8291909;23,2509977;0,00000;23,2509977
FO-14;FO;14;1;59,8291834;23,2502083;NA;NA;59,8291834;0,00000;59,8291834;23,2502083;0,00000;23,2502083
FO-15;FO;15;1;59,82911;23,2501075;NA;NA;59,8291100;0,00000;59,8291100;23,2501075;0,00000;23,2501075
FO-16;FO;16;1;59,8290973;23,2500551;NA;NA;59,8290973;0,00000;59,8290973;23,2500551;0,00000;23,2500551
FO-17;FO;17;1;59,8290934;23,2499844;NA;NA;59,8290934;0,00000;59,8290934;23,2499844;0,00000;23,2499844
FO-18;FO;18;1;59,8290836;23,2498803;NA;NA;59,8290836;0,00000;59,8290836;23,2498803;0,00000;23,2498803
FO-19;FO;19;1;59,8290732;23,2499276;NA;NA;59,8290732;0,00000;59,8290732;23,2499276;0,00000;23,2499276
FO-19A;FO;19A;1;NA;NA;59,83;23,25;59,82906;0,00000;59,8290600;23,24992;0,00000;23,2499200
FO-20;FO;20;1;59,8290569;23,2498353;NA;NA;59,8290569;0,00000;59,8290569;23,2498353;0,00000;23,2498353
FO-21;FO;21;1;59,8292302;23,2495224;59,83;23,25;59,8292301;0,00000;59,8292301;23,2495312;0,00000;23,2495312
FO-22;FO;22;1;59,8291638;23,2495143;59,83;23,25;59,8291669;0,00000;59,8291669;23,2495222;0,00004;23,2495622
FO-18A;FO;18A;1;NA;NA;59,83;23,25;59,8291300;0,00000;59,8291300;23,2498350;0,00000;23,2498350
FO-21A;FO;21A;1;NA;NA;59,83;23,25;59,8292400;0,00000;59,8292400;23,2495600;0,00000;23,2495600
FS-1;FS;1;1;59,8287603;23,2485082;NA;NA;59,8287603;0,00000;59,8287603;23,2485082;0,00000;23,2485082
FS-2;FS;2;1;59,8287886;23,2484703;NA;NA;59,8287886;0,00000;59,8287886;23,2484703;0,00000;23,2484703
FS-3;FS;3;1;59,8287898;23,248425;NA;NA;59,8287898;0,00000;59,8287898;23,2484250;0,00000;23,2484250
FS-4;FS;4;1;59,8287933;23,2480835;NA;NA;59,8287933;0,00000;59,8287933;23,2480835;0,00000;23,2480835
FS-5;FS;5;1;59,8287655;23,2480004;NA;NA;59,8287655;0,00000;59,8287655;23,2480004;0,00000;23,2480004
FS-6;FS;6;1;59,8287627;23,2479323;NA;NA;59,8287627;0,00000;59,8287627;23,2479323;0,00000;23,2479323
FS-6A;FS;6A;1;NA;NA;59,83;23,25;59,8287627;0,00000;59,8287627;23,2478500;0,00000;23,2478500
FS-7;FS;7;1;59,8285251;23,2482369;NA;NA;59,8285251;0,00000;59,8285251;23,2482369;0,00000;23,2482369
FS-8;FS;8;1;59,8285141;23,2483252;NA;NA;59,8285141;0,00000;59,8285141;23,2483252;0,00000;23,2483252
FS-9;FS;9;1;59,8285106;23,248362;NA;NA;59,8285106;0,00000;59,8285106;23,2483620;0,00000;23,2483620
FS-10;FS;10;1;59,8285184;23,2484972;NA;NA;59,8285184;0,00000;59,8285184;23,2484972;0,00000;23,2484972
FS-11;FS;11;1;59,8285294;23,2485671;NA;NA;59,8285294;0,00000;59,8285294;23,2485671;0,00000;23,2485671
FS-12;FS;12;1;59,8285075;23,248605;NA;NA;59,8285075;0,00000;59,8285075;23,2486050;0,00000;23,2486050
FS-13;FS;13;1;59,8285017;23,2486189;NA;NA;59,8285017;0,00000;59,8285017;23,2486189;0,00005;23,2486689
FS-14;FS;14;1;59,8284883;23,2486692;NA;NA;59,8284883;0,00000;59,8284883;23,2486692;0,00005;23,2487192
FS-15;FS;15;1;59,8284405;23,2487425;NA;NA;59,8284405;0,00000;59,8284405;23,2487425;0,00005;23,2487925
FS-16;FS;16;1;59,8285892;23,2486446;NA;NA;59,8285892;0,00000;59,8285892;23,2486446;0,00000;23,2486446
FS-17;FS;17;1;59,8286318;23,248597;NA;NA;59,8286318;0,00000;59,8286318;23,2485970;0,00000;23,2485970
