run;poolname;island;pool;missing;miss_comment;core;part_of_core_since;length;width;surface_calculated_DE;surface_area_VIP;surface_area;depth;height_aboveSea;sometimes_submerged;distance_toSea;distance_toTree;watersheet;casc_top;casc_middle_top;casc_middle;casc_middle_bottom;casc_bottom;catchment_area_FA;catchment_area_DE;catchment_area
579;FUN-13;FUN;13;0;NA;0;NA;295;78;1,1505;NA;1,1505;33;100;0;300;6;FUN-13;1;0;0;0;0;NA;NA;NA
578;FUN-4;FUN;4;0;NA;0;NA;266;98;1,3034;NA;1,3034;21;100;0;600;7;FUN-4;1;0;0;0;0;NA;NA;NA
580;HA1-1;HA1;1;0;NA;0;NA;233;92;1,0718;NA;1,0718;25;300;0;400;NA;HA1-1;1;0;0;0;0;NA;NA;NA
383;M-69A;M;69A;1;new pool 2016;1;2016;NA;NA;NA;NA;NA;NA;NA;0;NA;10;M-69;0;0;0;0;1;NA;NA;NA
518;SK-26A;SK;26A;1;new pool 2016;1;2016;200;175;1,75;NA;1,75;NA;180;0;900;2,5;SK-26A;1;0;0;0;0;NA;NA;NA
33;FO-19A;FO;19A;0;NA;1;2013;245;185;2,26625;NA;2,266;9;140;0;520;NA;FO-19;0;0;0;0;1;NA;6,5;6,5
44;FS-6A;FS;6A;0;NA;1;2013;175;45;0,39375;NA;0,39375;8;130;0;350;NA;FS-6A;1;0;0;0;0;NA;5;5
342;M-30A;M;30A;0;NA;1;2013;220;100;1,1;NA;1,1;7;250;0;2300;NA;M-30A;1;0;0;0;0;NA;54;54
419;N-28A;N;28A;1;lower part of pool 28 became 28A;1;2013;280;140;1,96;NA;1,96;23;120;0;650;30;N-26;0;0;0;1;0;NA;18;18
535;SK-40A;SK;40A;0;NA;1;2013;145;100;0,725;NA;0,725;10;50;1;300;NA;SK-40A;1;0;0;0;0;NA;7,5;7,5
566;M-14B;M;14B;0;NA;0;2012;280;180;2,52;NA;2,52;15;80;0;200;18;M-14B;1;0;0;0;0;NA;NA;NA
31;FO-18A;FO;18A;0;NA;1;2011;130;60;0,39;NA;0,39;15;300;0;1050;8;FO-18A;1;0;0;0;0;NA;18;18
210;G-111A;G;111A;0;NA;1;2011;90;50;0,225;NA;0,225;14;250;0;300;20;G-111A;1;0;0;0;0;NA;1,6;1,6
105;G-12A;G;12A;0;NA;1;2011;250;210;2,625;NA;2,625;6;100;0;300;33;G-12;0;0;0;0;1;NA;20;20
222;G-122A;G;122A;0;NA;1;2011;160;95;0,76;NA;0,76;15;200;0;1500;10;G-122;0;0;0;0;1;NA;11;11
132;G-37A;G;37A;0;NA;1;2011;320;190;3,04;NA;3,04;5;100;0;2500;50;G-36;1;0;0;0;0;NA;1,5;1,5
133;G-37B;G;37B;0;NA;1;2011;100;50;0,25;NA;0,25;6;100;0;2400;50;G-36;1;0;0;0;0;NA;170;170
147;G-50A;G;50A;0;NA;1;2011;65;30;0,0975;NA;0,0975;10;220;0;1900;20;G-50A;1;0;0;0;0;NA;3,5;3,5
403;N-15A;N;15A;0;NA;1;2011;310;190;2,945;NA;2,945;18;100;0;900;14;N-15A;1;0;0;0;0;NA;27;27
413;N-24A;N;24A;0;NA;1;2011;100;32;0,16;NA;0,16;28;200;0;2100;12;N-24A;1;0;0;0;0;NA;3;3
478;N-85A;N;85A;0;NA;1;2011;71;45;0,15975;NA;0,15975;11;150;0;250;23;N-85A;1;0;0;0;0;NA;1,5;1,5
265;LA-18A;LA;18A;0;NA;1;2010;126;34;0,2142;NA;0,2142;8;200;0;890;55;LA-18A;1;0;0;0;0;NA;6;6
512;SK-20A;SK;20A;0;NA;1;2010;333;168;2,7972;NA;2,7972;31;300;0;1130;2;SK-16;0;0;0;0;1;NA;4;4
1;F-1;F;1;0;NA;1;1982;NA;NA;NA;0,93;0,93;9;185;0;800;9;F-1;1;0;0;0;0;NA;4;4
10;F-10;F;10;0;NA;1;1982;NA;NA;NA;6,21;6,21;55;520;0;1700;7;F-10;1;0;0;0;0;20,4;NA;20,4
11;F-11;F;11;0;NA;1;1982;NA;NA;NA;0,39;0,39;15;100;1;600;15;F-11;1;0;0;0;0;24,1;NA;24,1
12;F-12;F;12;0;NA;1;1982;NA;NA;NA;0,43;0,43;20;65;1;250;14;F-12;1;0;0;0;0;5,5;NA;5,5
