poolname;year;sample;pool;island;water_VIP;magna_VIP;pulex_VIP;longispina_VIP;water_DE;magna_DE;longispina_DE;pulex_DE
F-1;2009;1;1;F;y;0;0;0;y;0;0;0
F-1;2009;2;1;F;y;0;0;0;y;0;0;0
F-1;2010;1;1;F;y;0;0;0;y;0;0;0
F-1;2011;1;1;F;y;0;0;0;n;NA;NA;NA
F-1;2011;2;1;F;y;0;0;0;y;0;0;0
F-1;2012;2;1;F;y;0;0;0;y;0;0;0
F-10;2009;1;10;F;y;0;0;1;y;0;0;0
F-10;2009;2;10;F;y;0;0;1;y;0;1;0
F-10;2010;1;10;F;y;0;0;1;y;0;NA;NA
F-10;2011;1;10;F;y;0;0;1;y;0;1;0
F-10;2011;2;10;F;y;0;0;1;y;0;1;0
F-10;2012;1;10;F;y;0;0;0;y;0;1;0
F-10;2012;2;10;F;y;0;0;1;y;0;1;0
F-11;2009;1;11;F;y;0;0;0;y;0;0;0
F-11;2009;2;11;F;y;0;0;0;y;0;0;0
F-11;2010;1;11;F;y;0;0;0;y;0;0;0
F-11;2011;1;11;F;y;0;0;0;n;NA;NA;NA
F-11;2011;2;11;F;y;0;0;0;y;0;0;0
F-11;2012;1;11;F;y;0;0;0;n;NA;NA;NA
F-11;2012;2;11;F;y;0;0;0;y;0;0;0
F-12;2009;1;12;F;y;0;0;0;y;0;0;0
F-12;2009;2;12;F;y;0;0;0;y;0;0;0
F-12;2010;1;12;F;y;0;0;0;y;0;0;0
F-12;2011;1;12;F;y;0;0;0;y;0;0;0
F-12;2011;2;12;F;y;0;0;0;y;0;0;0
F-12;2012;1;12;F;y;0;0;0;y;0;0;0
F-12;2012;2;12;F;y;0;0;0;y;0;0;0
F-3;2009;1;3;F;y;1;0;1;y;0;1;1
F-3;2009;2;3;F;y;0;0;1;y;1;1;0
F-3;2010;1;3;F;y;1;0;1;y;1;1;1
F-3;2011;1;3;F;y;1;0;1;y;1;1;0
F-3;2011;2;3;F;y;0;0;1;y;0;1;0
F-3;2012;1;3;F;y;0;0;1;y;0;1;0
F-3;2012;2;3;F;y;0;0;1;y;0;1;0
F-4;2009;1;4;F;y;0;1;0;y;0;0;1
F-4;2009;2;4;F;y;0;0;0;y;0;0;0
F-4;2010;1;4;F;y;0;1;0;y;0;0;1
F-4;2011;1;4;F;y;0;1;0;y;0;0;1
F-4;2011;2;4;F;y;0;1;0;y;0;0;1
F-4;2012;1;4;F;y;0;1;0;y;0;0;1
F-4;2012;2;4;F;y;0;1;0;y;0;0;1
F-5;2009;1;5;F;y;0;1;0;y;0;0;1
F-5;2009;2;5;F;y;0;1;0;y;0;0;1
F-5;2010;1;5;F;y;0;1;0;y;0;0;1
F-5;2011;1;5;F;y;0;0;0;n;NA;NA;NA
F-5;2011;2;5;F;y;0;1;0;y;0;0;1
F-5;2012;1;5;F;y;0;0;0;y;0;0;1
F-5;2012;2;5;F;y;0;0;1;y;0;1;0
