"day","month","year","sample","island","pool","plants","water","poolname","plants_rank"
8,8,2013,2,"F","1",5,NA,"F-1",2
8,8,2013,2,"F","2",100,NA,"F-2",7
8,8,2013,2,"F","3",5,NA,"F-3",2
8,8,2013,2,"F","4",0,NA,"F-4",1
8,8,2013,2,"F","5",25,NA,"F-5",3
8,8,2013,2,"F","6",50,NA,"F-6",4
8,8,2013,2,"F","7",50,NA,"F-7",4
8,8,2013,2,"F","8",5,NA,"F-8",2
8,8,2013,2,"F","9",75,NA,"F-9",5
8,8,2013,2,"F","10",0,NA,"F-10",1
8,8,2013,2,"F","11",25,NA,"F-11",3
8,8,2013,2,"F","12",0,NA,"F-12",1
2,8,2013,2,"FO","1",5,NA,"FO-1",2
2,8,2013,2,"FO","2",5,NA,"FO-2",2
2,8,2013,2,"FO","3",0,NA,"FO-3",1
2,8,2013,2,"FO","4",25,NA,"FO-4",3
2,8,2013,2,"FO","5",5,NA,"FO-5",2
2,8,2013,2,"FO","6",0,NA,"FO-6",1
2,8,2013,2,"FO","7",5,NA,"FO-7",2
2,8,2013,2,"FO","8",5,NA,"FO-8",2
2,8,2013,2,"FO","9",0,NA,"FO-9",1
2,8,2013,2,"FO","10",0,NA,"FO-10",1
2,8,2013,2,"FO","11",0,NA,"FO-11",1
2,8,2013,2,"FO","12",5,NA,"FO-12",2
2,8,2013,2,"FO","13",0,NA,"FO-13",1
2,8,2013,2,"FO","14",5,NA,"FO-14",2
2,8,2013,2,"FO","15",0,NA,"FO-15",1
2,8,2013,2,"FO","16",0,NA,"FO-16",1
2,8,2013,2,"FO","17",5,NA,"FO-17",2
2,8,2013,2,"FO","18",0,NA,"FO-18",1
2,8,2013,2,"FO","18A",25,NA,"FO-18A",3
2,8,2013,2,"FO","19",25,NA,"FO-19",3
2,8,2013,2,"FO","19A",0,NA,"FO-19A",1
2,8,2013,2,"FO","20",0,NA,"FO-20",1
2,8,2013,2,"FO","21",50,NA,"FO-21",4
2,8,2013,2,"FO","21A",100,NA,"FO-21A",7
2,8,2013,2,"FO","22",50,NA,"FO-22",4
2,8,2013,2,"FS","1",5,NA,"FS-1",2
2,8,2013,2,"FS","2",5,NA,"FS-2",2
2,8,2013,2,"FS","3",5,NA,"FS-3",2
2,8,2013,2,"FS","4",75,NA,"FS-4",5
2,8,2013,2,"FS","5",25,NA,"FS-5",3
2,8,2013,2,"FS","6",5,NA,"FS-6",2
2,8,2013,2,"FS","6A",0,NA,"FS-6A",1
2,8,2013,2,"FS","7",50,NA,"FS-7",4
2,8,2013,2,"FS","8",0,NA,"FS-8",1
2,8,2013,2,"FS","9",75,NA,"FS-9",5
2,8,2013,2,"FS","10",50,NA,"FS-10",4
2,8,2013,2,"FS","11",50,NA,"FS-11",4
2,8,2013,2,"FS","12",25,NA,"FS-12",3
2,8,2013,2,"FS","13",0,NA,"FS-13",1
2,8,2013,2,"FS","14",0,NA,"FS-14",1
2,8,2013,2,"FS","15",0,NA,"FS-15",1
2,8,2013,2,"FS","16",50,NA,"FS-16",4
2,8,2013,2,"FS","17",0,NA,"FS-17",1
2,8,2013,2,"FS","18",0,NA,"FS-18",1
2,8,2013,2,"FS","19",0,NA,"FS-19",1
2,8,2013,2,"FS","20",0,NA,"FS-20",1
2,8,2013,2,"FS","21",5,NA,"FS-21",2
2,8,2013,2,"FS","22",0,NA,"FS-22",1
2,8,2013,2,"FS","23",0,NA,"FS-23",1
2,8,2013,2,"FS","24",0,NA,"FS-24",1
2,8,2013,2,"FS","25",0,NA,"FS-25",1
2,8,2013,2,"FS","26",0,NA,"FS-26",1
2,8,2013,2,"FS","27",5,NA,"FS-27",2
2,8,2013,2,"FS","28",75,NA,"FS-28",5
2,8,2013,2,"FS","29",25,NA,"FS-29",3
2,8,2013,2,"FS","30",25,NA,"FS-30",3
2,8,2013,2,"FS","31",50,NA,"FS-31",4
2,8,2013,2,"FS","32",0,NA,"FS-32",1
2,8,2013,2,"FS","33",0,NA,"FS-33",1
5,8,2013,2,"FSS","1",0,NA,"FSS-1",1
5,8,2013,2,"FSS","2",0,NA,"FSS-2",1
5,8,2013,2,"FSS","3",0,NA,"FSS-3",1
5,8,2013,2,"FSS","4",0,NA,"FSS-4",1
5,8,2013,2,"FSS","5",0,NA,"FSS-5",1
5,8,2013,2,"FSS","6",0,NA,"FSS-6",1
5,8,2013,2,"FSS","7",0,NA,"FSS-7",1
5,8,2013,2,"FSS","8",0,NA,"FSS-8",1
5,8,2013,2,"FSS","9",0,NA,"FSS-9",1
5,8,2013,2,"FSS","10",0,NA,"FSS-10",1
5,8,2013,2,"FSS","11",0,NA,"FSS-11",1
5,8,2013,2,"FSS","12",0,NA,"FSS-12",1
5,8,2013,2,"FSS","13",0,NA,"FSS-13",1
5,8,2013,2,"FSS","14",0,NA,"FSS-14",1
5,8,2013,2,"FSS","15",0,NA,"FSS-15",1
5,8,2013,2,"FSS","16",5,NA,"FSS-16",2
5,8,2013,2,"FSS","17",5,NA,"FSS-17",2
5,8,2013,2,"FSS","18",25,NA,"FSS-18",3
5,8,2013,2,"FW","1",0,NA,"FW-1",1
4,8,2013,2,"G","1",5,NA,"G-1",2
4,8,2013,2,"G","2",5,NA,"G-2",2
4,8,2013,2,"G","3",5,NA,"G-3",2
4,8,2013,2,"G","3A",5,NA,"G-3A",2
